Descrição,Código (SKU),Unidade,Preço,Preço promocional,Estoque disponível,Custo,origem
"VINIL GOLD PEDRAS CUBO 3D BEGE C/1,22 IMPRIMAX - GRUPO",IP517-GRUPO,UN,0,0,0.0,0,servi
"VINIL GOLD PEDRAS CUBO 3D BEGE C/1,22 IMPRIMAX - GRUPO - 1 m.",IP517-1,UN,51.15,0,20.0,0,servi
"VINIL GOLD PEDRAS CUBO 3D BEGE C/1,22 IMPRIMAX - GRUPO - 2 m.",IP517-2,UN,104.28,0,9.0,0,servi
"VINIL GOLD PEDRAS CUBO 3D BEGE C/1,22 IMPRIMAX - GRUPO - 3 m.",IP517-3,UN,156.42,0,6.0,0,servi
"VINIL GOLD PEDRAS CUBO 3D BEGE C/1,22 IMPRIMAX - GRUPO - 4 m.",IP517-4,UN,208.56,0,4.0,0,servi
"VINIL GOLD PEDRAS GRANILITE C/1,22 IMPRIMAX",IP1054,UN,44,0,0.5,33.11,servi
"VINIL GOLD PEDRAS MIRACEMA ROSA C/1,22 IMPRIMAX",IP1296,UN,0,0,25.0,35.6,servi
"VINIL GOLD PEDRAS PRETO TIJOLO C/1,22 IMPRIMAX",IP1020,UN,50,0,30.0,29,servi
VINIL GOLD PEDRAS PRETO TIJOLO C/61 CM IMPRIMAX,IP1163,UN,25,0,0.0,14.5,servi
"VINIL GOLD PEDRAS TIJOLO BRANCO C/1,22 IMPRIMAX",IP227,UN,44,0,16.7,28.02,servi
"VINIL GOLD PEDRAS TIJOLO CINZA 1802 C/1,22 IMPRIMAX",IP1341,UN,45,0,24.0,31.55,servi
VINIL GOLD PEDRAS TIJOLO VERMELHO C/61 IMPRIMAX,IP1165,UN,25,0,0.0,16.45,servi
"VINIL GOLD PEDRAS VERMELHO TIJOLO C/1,22 IMPRIMAX",IP192,UN,50,0,16.5,32.11,servi
"VINIL GOLD REVEST WALL ARTISTICO C/ 1,22 IMPRIMAX",IP1409,UN,45,0,0.0,27.41,servi
"VINIL GOLD RUSTIC GLACIAL C/1,22 IMPRIMAX",IP302,UN,40,0,0.0,23.51,servi
"VINIL GOLD SAVANA BERILO C/1,22 IMPRIMAX",IP1136,UN,50,0,24.0,28.28,servi
"VINIL GOLD TELADO PRETO C/1,22 IMPRIMAX",IP856,UN,47,0,0.0,31,servi
"VINIL GOLD VERDE LIMAO PEROLA FOSCO C/1,40 IMPRIMAX",IP1689,UN,42,0,25.0,23.86,servi
"VINIL GOLD VERDE PEROLA FOSCO C/1,40 IMPRIMAX",IP1690,UN,42,0,19.5,23.86,servi
"VINIL HOLOGRAFICO PRATA PROMA TACK C/ 0,50 CM",IP1299,un,45,0,86.0,20.88,servi
"VINIL JATEADO BLACK AIRFLOW C/1,38 ALLTAK",IP727,UN,35,0,15.5,23.21,servi
"VINIL JATEADO BLACK C/1,22 ALLTAK",IP752,UN,30,0,0.0,19.97,servi
"VINIL JATEADO CHARCOAL METALLIC 1,38 ALLTAK",IP1217,UN,44,0,8.0,28.64,servi
"VINIL JATEADO CRISTAL CONDESSA C/1,22 ALLTAK",IP255,UN,30,0,59.5,15.49,servi
VINIL JATEADO CRISTAL CONDESSA C/61 CM ALLTAK,IP1230,UN,15,0,-20.0,7.74,servi
"VINIL JATEADO FUME C/1,22 IMPRIMAX",IP164,UN,32,0,15.5,17.2,servi
VINIL JATEADO FUME C/61 CM IMPRIMAX,IP1056,UN,16,0,27.5,8.62,servi
"VINIL JATEADO GRAY METALLIC 1,38 ALLTAK",IP280,UN,38,0,20.0,26.49,servi
"VINIL JATEADO ICE BLUE C/1,38 ALLTAK",IP869,UN,38,0,0.0,26.38,servi
"VINIL JATEADO NAVY BLUE C/1,38 ALLTAK",IP503,UN,45,0,-1.0,27.47,servi
"VINIL JATEADO OPACO PRETO AIRFLOW C/1,22 IMPRIMAX",IP150,UN,30,0,75.6,17.61,servi
"VINIL JATEADO OPACO PRETO AIRFLOW C/1,40 IMPRIMAX",IP79,UN,38,0,35.0,18.81,servi
VINIL JATEADO OPACO PRETO AIRFLOW C/61 IMPRIMAX,IP796,UN,15,0,172.0,9.03,servi
"VINIL JATEADO OPACO VERDE FROSTYC /1,40 IMPRIMAX",IP1105,UN,44,0,1.5,25.15,servi
"VINIL JATEADO OPACO VERDE MILITAR C/1,40 IMPRIMAX",IP297,UN,35,0,0.0,20.7,servi
"VINIL JATEADO OPACO VERDE OLIVA C/1,40 IMPRIMAX",IP1036,UN,44,0,0.0,18.54,servi
"VINIL JATEADO OPACO VINHO C/1,40 IMPRIMAX",IP300,UN,42,0,0.0,24.74,servi
"VINIL JATEADO QUADRA 1,22 ALLTAK",IP244,UN,30,0,55.0,16.15,servi
VINIL JATEADO QUADRA 61 CM ALLTAK,IP1227,UN,15,0,0.0,8.21,servi
"VINIL JATEADO SILVER METALLIC 1,38 ALLTAK",IP367,UN,37,0,0.0,20.06,servi
